OUTPUT,iso3c,group,source,unit,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
EGY_MULA_QP..MAR,EGY,MULA,Aquaculture,QP,"EGY_MULA_QP..MAR = OVERLAY(EGY_MULA_QP..MAR..HIS,EGY_MULA_QP*(TRND*0+0.87))",Scalar TS,Numeric,89.029,84.001,99.651,90.151,92.645,115,115,182.294,210.7,198.1947,189.6599596,189.6599892,187.0499017,186.1797461,186.1798882,185.3099452,184.4398635,183.5698247,184.4398137,184.4398701,184.4398729
EGY_OTHA_QP..MAR,EGY,OTHA,Aquaculture,QP,"EGY_OTHA_QP..MAR = OVERLAY(EGY_OTHA_QP..MAR..HIS,EGY_OTHA_QP*0)",Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY_SHPA_QP,EGY,SHPA,Aquaculture,QP,,Scalar TS,Numeric,0.792,0.766,1.109,5.856,7.235,0.012,0.101,0.135,0.5,0.5,0.35391984,0.304250285,0.275241938,0.249539466,0.2307571,0.214393785,0.197136045,0.178682176,0.162212349,0.148013818,0.135443144
ETH_FHA_QP..MAR,ETH,FHA,Aquaculture,QP,ETH_FHA_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH_FHC_QP..MAR,ETH,FHC,Capture,QP,ETH_FHC_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUE_FHA_QP..MAR,EUE,FHA,Aquaculture,QP,EUE_FHA_QP..MAR = EUE_OTHA_QP..MAR+EUE_SALA_QP..MAR,Scalar TS,Numeric,74.419,87.31849,105.31504,102.74979,111.57632,103.92914,115.03044,120.84425,117.6363,116.6431596,118.5799695,121.369863,125.089921,130.6699637,136.2500131,139.9700102,143.6900122,146.4800347,148.3400578,149.2700699,150.2000948
EUE_FHC_QP..MAR,EUE,FHC,Capture,QP,"EUE_FHC_QP..MAR = OVERLAY(EUE_FHC_QP..MAR..HIS,EUE_FHC_
QP*(TRND*0+0.99*FHCQPADJ))",Scalar TS,Numeric,1691.524,1746.164,2059.87,2149.625,1933.002,2197.672,1932.999,2213.164,2242.404,2114.7397,2189.88,2158.1802,2148.3792,2160.18,2150.28,2140.38,2130.48,2120.58,2106.45864,2092.37688,2078.33472
EUE_OTHA_QP..MAR,EUE,OTHA,Aquaculture,QP,"EUE_OTHA_QP..MAR = OVERLAY(EUE_OTHA_QP..MAR..HIS,EUE_OTHA_QP)",Scalar TS,Numeric,23.349,22.74149,22.73904,20.60779,17.74632,16.13214,19.22644,18.32525,20.3743,19.0489596,20,20,20,20,20,20,20,20,20,20,20
EUE_SALA_QP..MAR,EUE,SALA,Aquaculture,QP,"EUE_SALA_QP..MAR = OVERLAY(EUE_SALA_QP..MAR..HIS,EUE_SALA_QP*(TRND*0+0.93))",Scalar TS,Numeric,51.07,64.577,82.576,82.142,93.83,87.797,95.804,102.519,97.262,97.5942,98.57996945,101.369863,105.089921,110.6699637,116.2500131,119.9700102,123.6900122,126.4800347,128.3400578,129.2700699,130.2000948
EUN_DEMA_QP,EUN,DEMA,Aquaculture,QP,,Scalar TS,Numeric,171.3188,164.86849,167.3768,170.52075,168.07236,168.94986,185.93975,196.70573,202.85894,211,210.8642935,212.9423605,215.6952464,219.3980877,222.4503755,225.2769927,226.4743263,225.5261184,223.4725038,221.3025225,219.3235442
EUN_FHA_QP..MAR,EUN,FHA,Aquaculture,QP,EUN_FHA_QP..MAR = EUN_OTHA_QP..MAR+EUN_MLCA_QP+EUN_SALA_QP..MAR+EUN_DEMA_QP,Scalar TS,Numeric,786.21886,793.04887,755.74102,721.51913,779.06993,793.33853,820.42773,859.41394,901.26885,920.304876,925.0324468,935.8345829,946.3446109,952.0243838,956.8257611,962.2770448,969.5770343,974.9921247,976.929384,979.6599935,983.6165634
EUN_FHC_QP..MAR,EUN,FHC,Capture,QP,"EUN_FHC_QP..MAR = OVERLAY(EUN_FHC_QP..MAR..HIS,EUN_FHC_
QP*(TRND*0+0.977*FHCQPADJ))",Scalar TS,Numeric,4728.305,4422.991,3925.028,4247.198,4545.327,4523.442,4370.19,4772.544,4608.546,4480.493433,4494.2,4460.982,4479.1542,4542.6592,4551.7453,4561.2222,4575.4864,4579.7852,4575.890878,4567.985776,4568.330266
EUN_MLCA_QP,EUN,MLCA,Aquaculture,QP,,Scalar TS,Numeric,567.18914,586.17717,546.80126,507.71444,570.87173,577.38719,584.97004,608.04302,649.06021,658,659.9999905,667.00012,673.0000608,673.0000677,672.999795,673.9998625,678.9999346,684.9999863,688.9999829,694.0000157,700.0000553
EUN_OTHA_QP..MAR,EUN,OTHA,Aquaculture,QP,"EUN_OTHA_QP..MAR = OVERLAY(EUN_OTHA_QP..MAR..HIS,EUN_OTHA_QP)",Scalar TS,Numeric,9.06892,6.27021,4.97296,5.48794,5.61584,7.14548,7.38794,7.70319,12.7047,13.024876,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
EUN_SALA_QP..MAR,EUN,SALA,Aquaculture,QP,"EUN_SALA_QP..MAR = OVERLAY(EUN_SALA_QP..MAR..HIS,EUN_SALA_QP*(TRND*0+0.2))",Scalar TS,Numeric,38.642,35.733,36.59,37.796,34.51,39.856,42.13,46.962,36.645,38.28,39.16816282,40.39210249,41.64930367,43.12622838,44.37559057,45.50018953,46.10277341,45.96601992,45.45689733,44.85745527,44.29296394
GBR_FHA_QP..MAR,GBR,FHA,Aquaculture,QP,GBR_FHA_QP..MAR = GBR_OTHA_QP..MAR+GBR_SALA_QP..MAR+GBR_MLCA_QP,Scalar TS,Numeric,188.37,187.109,192.25,192.104,203.239,201.028,183.851,211.778,186.717,171.8594101,178.9305174,183.7474356,191.7834906,198.6806608,204.4488948,208.2708134,211.6578369,214.1033073,215.1089157,215.1071222,214.3631345
GBR_FHC_QP..MAR,GBR,FHC,Capture,QP,"GBR_FHC_QP..MAR = OVERLAY(GBR_FHC_QP..MAR..HIS,GBR_FHC_QP*(TRND*0+1*FHCQPADJ))",Scalar TS,Numeric,610.156,598.942,629.115,630.047,754.956,704.854,702.578,725.4,699.07,690.2,713,705.87,705.87,713,713,713,713,713,711.574,710.148,708.722
GBR_MLCA_QP,GBR,MLCA,Aquaculture,QP,,Scalar TS,Numeric,31.51955,27.0578,27.3594,26.318,21.6187,24.15709,16.88823,18.51208,17.142,16.4,16.28081843,16.15646018,16.30652171,16.53309745,16.78498989,17.04119389,17.32706644,17.61007137,17.88716047,18.10788667,18.32138765
GBR_OTHA_QP..MAR,GBR,OTHA,Aquaculture,QP,"GBR_OTHA_QP..MAR = OVERLAY(GBR_OTHA_QP..MAR..HIS,GBR_OTHA_QP*0.2)",Scalar TS,Numeric,0.61345,0.5732,0.2636,0.308,0.3163,0.05591,0.06677,0.07692,0.075,0.07741012,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GBR_SALA_QP..MAR,GBR,SALA,Aquaculture,QP,"GBR_SALA_QP..MAR = OVERLAY(GBR_SALA_QP..MAR..HIS,GBR_SALA_QP*(TRND*0+0.94))",Scalar TS,Numeric,156.237,159.478,164.627,165.478,181.304,176.815,166.896,193.189,169.5,155.382,162.569699,167.5109754,175.3969689,182.0675633,187.5839049,191.1496195,194.2507705,196.4132359,197.1417553,196.9192355,195.9617469
IDN_FHA_QP..MAR,IDN,FHA,Aquaculture,QP,"IDN_FHA_QP..MAR = IDN_OTHA_QP..MAR+IDN_SHPA_QP..MAR+IDN_OFWDA_QP..MAR+IDN_MKFA_
QP..MAR+IDN_OMAA_QP+IDN_MLCA_QP",Scalar TS,Numeric,881.76898,912.11561,892.46386,1254.00729,1205.36097,1263.263,1416.33454,1713.227,1871.859,1751.526504,1830.387237,1912.38758,1995.004615,2076.607797,2162.878415,2244.009633,2319.634533,2377.826662,2436.892602,2500.713251,2572.468192
IDN_FHC_QP..MAR,IDN,FHC,Capture,QP,"IDN_FHC_QP..MAR = OVERLAY(IDN_FHC_QP..MAR..HIS,IDN_FHC_
QP*(TRND*0+0.933*FHCQPADJ))",Scalar TS,Numeric,5041.27,5384.435,5463.113,5711.98,6010.22,6216.598,6108.821,6304.931,6706.085,6316.135698,6316.41,6223.11,6253.899,6363.06,6409.71,6456.36,6517.005,6577.65,6620.36274,6662.85156,6695.84244
IDN_MKFA_QP..MAR,IDN,MKFA,Aquaculture,QP,"IDN_MKFA_QP..MAR = OVERLAY(IDN_MKFA_QP..MAR..HIS,IDN_MKFA_QP*(TRND*0+0.92))",Scalar TS,Numeric,422.068,467.327,482.93,575.256,577.568,625.342,691.508,632.975,808.966,828,851.7131723,881.3113518,911.118436,942.7151931,979.4552708,1013.397535,1045.563787,1067.37231,1091.773367,1119.034244,1147.712928
IDN_MLCA_QP,IDN,MLCA,Aquaculture,QP,,Scalar TS,Numeric,0,0,0,0,0,0,0,50.2,40,35,36.99999999,39.00000333,41.00000589,43.0000072,44.99996053,46.99994633,48.99993986,50.99994093,52.99993755,54.99994987,56.99995607
IDN_OFWDA_QP..MAR,IDN,OFWDA,Aquaculture,QP,"IDN_OFWDA_QP..MAR = OVERLAY(IDN_OFWDA_QP..MAR..HIS,IDN_OFWDA_QP*(TRND*0+0.006))",Scalar TS,Numeric,6.776,5.236,6.198,6.735,5.447,6.558,7.89,8.192,9.835,10.152,10.43624099,10.59870943,10.81893202,11.1575569,11.52778024,11.85450356,12.21455904,12.50849808,12.75071317,12.84690159,12.97112617
IDN_OMAA_QP,IDN,OMAA,Aquaculture,QP,,Scalar TS,Numeric,62.91,31.409,19.591,35.634,23.599,27.213,37.677,115,120,130,140,150,160,170,180,190,200,210,220,230,240
IDN_OTHA_QP..MAR,IDN,OTHA,Aquaculture,QP,"IDN_OTHA_QP..MAR = OVERLAY(IDN_OTHA_QP..MAR..HIS,IDN_OTHA_QP)",Scalar TS,Numeric,10.68898,8.59961,15.26786,13.04029,13.94597,14.736,12.27354,13.005,9.943,13.374504,15,15,15,15,15,15,15,15,15,15,15
IDN_SHPA_QP..MAR,IDN,SHPA,Aquaculture,QP,"IDN_SHPA_QP..MAR = OVERLAY(IDN_SHPA_QP..MAR..HIS,IDN_SHPA_QP*(TRND*0+0.98))",Scalar TS,Numeric,379.326,399.544,368.477,623.342,584.801,589.414,666.986,893.855,883.115,735,776.2378237,816.4775151,857.0672411,894.7350401,931.8954034,966.7576479,997.8562476,1021.945914,1044.368584,1068.832156,1099.784181
IND_FHA_QP..MAR,IND,FHA,Aquaculture,QP,IND_FHA_QP..MAR = IND_OMAA_QP+IND_SHPA_QP..MAR+IND_MLCA_QP+IND_OTHA_QP..MAR,Scalar TS,Numeric,137.424,318.022,361.569,395.2,481.259,603.358,623.869,752.161,805.3,899.73,946.6318221,972.6757171,1008.111978,1050.243199,1095.025441,1140.865174,1186.715849,1235.841223,1289.247459,1335.013786,1382.185173
IND_FHC_QP..MAR,IND,FHC,Capture,QP,"IND_FHC_QP..MAR = OVERLAY(IND_FHC_QP..MAR..HIS,IND_FHC_
QP*(TRND*0+0.718*FHCQPADJ))",Scalar TS,Numeric,3245.163,3250.099,3408.472,3417.079,3725.603,3497.284,3714.306,3938.213,3620.145,3805.4,4038.75,3949,3956.18,3963.36,3970.54,3977.72,3984.9,3992.08,3991.26148,3990.41424,3989.53828
IND_MLCA_QP,IND,MLCA,Aquaculture,QP,,Scalar TS,Numeric,18.017,14.014,12.905,14.1,14.2,12.6,12.6,13,13,14,14,14,14,14,14,14,14,14,14,14,14
IND_OMAA_QP,IND,OMAA,Aquaculture,QP,,Scalar TS,Numeric,18.693,52.808,84.164,90.9,90,90,90,96,110,116.5,124.9402342,128.8180152,133.4061291,137.9573408,142.4861327,147.4780979,151.8872282,155.7108632,157.6663687,160.100934,163.3461295
IND_OTHA_QP..MAR,IND,OTHA,Aquaculture,QP,"IND_OTHA_QP..MAR = OVERLAY(IND_OTHA_QP..MAR..HIS,IND_OTHA_QP*0)",Scalar TS,Numeric,0,0,5.68E-14,-5.68E-14,0,-1.14E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_SHPA_QP..MAR,IND,SHPA,Aquaculture,QP,"IND_SHPA_QP..MAR = OVERLAY(IND_SHPA_QP..MAR..HIS,IND_SHPA_QP*(TRND*0+0.99))",Scalar TS,Numeric,100.714,251.2,264.5,290.2,377.059,500.758,521.269,643.161,682.3,769.23,807.6915879,829.8577018,860.7058486,898.2858583,938.5393081,979.3870764,1020.828621,1066.13036,1117.581091,1160.912852,1204.839043
IRN_FHA_QP..MAR,IRN,FHA,Aquaculture,QP,IRN_FHA_QP..MAR = IRN_SHPA_QP..MAR+IRN_OTHA_QP..MAR,Scalar TS,Numeric,6.359,8.026,10.152,12.698,22.598,20.26,31.493,46.382,69.759,74.04217663,66.36678455,59.41934923,59.47303495,59.83123699,60.33421797,58.13767955,55.84737996,53.57119918,51.97651058,50.30202843,48.92942003
IRN_FHC_QP..MAR,IRN,FHC,Capture,QP,"IRN_FHC_QP..MAR = OVERLAY(IRN_FHC_QP..MAR..HIS,IRN_FHC_QP*FHCQPADJ*MIN(0.98,
0.622+0.005167*(49+(TRND-49)/2)))",Scalar TS,Numeric,368.505,411.713,454.594,467.802,529.113,543.075,594.934,685.061,723.248,736.4460935,761.50275,785.810815,797.7622653,817.6741304,841.69638,857.5368,873.454725,884.9579825,894.7198842,904.4870295,909.7553689
IRN_OTHA_QP..MAR,IRN,OTHA,Aquaculture,QP,"IRN_OTHA_QP..MAR = OVERLAY(IRN_OTHA_QP..MAR..HIS,IRN_OTHA_QP*0.85)",Scalar TS,Numeric,0,0,0,0,0.123,2.465,10.162,14.05,21.9,20.84217663,21.25,21.4625,21.675,21.8875,22.1,22.3125,22.525,22.7375,22.95,23.1625,23.375
IRN_SHPA_QP..MAR,IRN,SHPA,Aquaculture,QP,"IRN_SHPA_QP..MAR = OVERLAY(IRN_SHPA_QP..MAR..HIS,IRN_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,6.359,8.026,10.152,12.698,22.475,17.795,21.331,32.332,47.859,53.2,45.11678455,37.95684923,37.79803495,37.94373699,38.23421797,35.82517955,33.32237996,30.83369918,29.02651058,27.13952843,25.55442003
ISR_FHA_QP..MAR,ISR,FHA,Aquaculture,QP,"ISR_FHA_QP..MAR = OVERLAY(ISR_FHA_QP..MAR..HIS,0.15*ISR_FHA_QP)",Scalar TS,Numeric,2.05,2.326,2.722,3.374,3.073,2.26,2.382,2.545,2.545,2.551576391,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
ISR_FHC_QP..MAR,ISR,FHC,Capture,QP,"ISR_FHC_QP..MAR = OVERLAY(ISR_FHC_QP..MAR..HIS,ISR_FHC_
QP*(TRND*0+0.55*FHCQPADJ))",Scalar TS,Numeric,2.186,2.113,2.274,1.636,1.525,1.594,1.257,1.122,1.122,1.1297,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0978,1.0956,1.0934
JPN_DEMA_QP,JPN,DEMA,Aquaculture,QP,,Scalar TS,Numeric,75.994,68.385,63.957,64.327,69.211,70.162,72.765,69.024,66,69,68.81018825,69.93302712,71.04280026,72.05151189,72.59281774,73.08629289,73.23644648,75.1032165,76.49795139,77.7754386,79.07084136
JPN_FHA_QP..MAR,JPN,FHA,Aquaculture,QP,"JPN_FHA_QP..MAR = JPN_MLCA_QP+JPN_SALA_QP..MAR+JPN_DEMA_QP+JPN_OPEA_QP+JPN_OTHA_
QP..MAR",Scalar TS,Numeric,678.521,518.963,598.73,578.71,613.71,668.816,641.308,578.2,612.8,629.2998508,639.2445164,656.9828257,676.1312978,690.5877682,698.3273809,705.0082887,706.266763,710.9269659,707.4529665,704.0947971,702.0805605
JPN_FHC_QP..MAR,JPN,FHC,Capture,QP,"JPN_FHC_QP..MAR = OVERLAY(JPN_FHC_QP..MAR..HIS,JPN_FHC_
QP*(TRND*0+0.992*FHCQPADJ))",Scalar TS,Numeric,4051.296,3757.001,3631.307,3620.519,3608.42,3371.13,3172.152,3180.534,3103.902,3075.2,3109.718874,3064.978597,3022.746821,2982.839461,2945.089016,2909.342804,2875.461419,2843.317367,2807.168279,2772.648653,2739.651574
JPN_MLCA_QP,JPN,MLCA,Aquaculture,QP,,Scalar TS,Numeric,420.731,284.929,345.914,332.44,368.713,413.028,373.956,309.437,350.4,351.4,359.2480004,375.8274683,393.5618447,405.3041865,410.8422708,415.3838607,415.3649561,412.5100968,403.1845004,395.1065816,388.5014027
JPN_OPEA_QP,JPN,OPEA,Aquaculture,QP,,Scalar TS,Numeric,143.202,150.416,164.439,154.499,138.63,144.455,145.549,144.244,144.4,149,151.8117579,152.0696975,152.0451636,153.2756906,154.4005983,155.5758478,156.2198838,161.4550848,165.6047528,168.7692605,171.7787986
JPN_OTHA_QP..MAR,JPN,OTHA,Aquaculture,QP,"JPN_OTHA_QP..MAR = OVERLAY(JPN_OTHA_QP..MAR..HIS,JPN_OTHA_QP*0.9)",Scalar TS,Numeric,23.828,15.117,14.692,15.229,24.354,27.234,35.83,39.847,34,39.39885081,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6
JPN_SALA_QP..MAR,JPN,SALA,Aquaculture,QP,"JPN_SALA_QP..MAR = OVERLAY(JPN_SALA_QP..MAR..HIS,JPN_SALA_
QP*(0.025*(49+(TRND-49)/2)-0.62))",Scalar TS,Numeric,14.766,0.116,9.728,12.215,12.802,13.937,13.208,15.648,18,20.501,19.77456988,19.55263281,19.88148929,20.35637927,20.89169408,21.3622873,21.84547667,22.25856775,22.56576184,22.84351647,23.12951778
KAZ_FHA_QP..MAR,KAZ,FHA,Aquaculture,QP,KAZ_FHA_QP..MAR = 0*TRND,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ_FHC_QP..MAR,KAZ,FHC,Capture,QP,KAZ_FHC_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR_DEMA_QP,KOR,DEMA,Aquaculture,QP,,Scalar TS,Numeric,79.146,71.054,75.308,71.91,79.331,84.986,79.49,90.062,81.837,84.735,85.50723497,90.24864531,90.94934836,92.03865618,93.42200025,94.54337574,95.67447466,96.52051042,97.0017627,97.2187737,97.48244802
KOR_FHA_QP..MAR,KOR,FHA,Aquaculture,QP,KOR_FHA_QP..MAR = KOR_MLCA_QP+KOR_DEMA_QP+KOR_OTHA_QP..MAR,Scalar TS,Numeric,453.328,485.264,466.623,383.905,459.633,455.437,481.935,545.288,539.345,543.3401987,555.4430503,558.513434,559.4994429,560.312417,559.5638992,559.087587,561.2536155,564.0061676,563.899086,564.6456083,566.4382545
KOR_FHC_QP..MAR,KOR,FHC,Capture,QP,"KOR_FHC_QP..MAR = OVERLAY(KOR_FHC_QP..MAR..HIS,KOR_FHC_
QP*(TRND*0+0.995*FHCQPADJ))",Scalar TS,Numeric,1711.701,1732.049,1656.927,1587.606,1735.508,1640.672,1351.887,1347.893,1330.531,1355.19,1329.4195,1307.35836,1298.49291,1302.7535,1293.7985,1284.943,1276.0875,1267.3315,1256.058349,1244.919324,1233.913828
KOR_MLCA_QP,KOR,MLCA,Aquaculture,QP,,Scalar TS,Numeric,359.784,394.502,373.488,293.773,359.292,338.115,361.706,452.616,455.463,450.311,461.5358153,459.8647886,460.1500946,459.8737608,457.7418989,456.1442113,457.1791409,459.0856572,458.4973233,459.0268346,460.5558064
KOR_OTHA_QP..MAR,KOR,OTHA,Aquaculture,QP,"KOR_OTHA_QP..MAR = OVERLAY(KOR_OTHA_QP..MAR..HIS,KOR_OTHA_QP*0.7)",Scalar TS,Numeric,14.398,19.708,17.827,18.222,21.01,32.336,40.739,2.61,2.045,8.29419871,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
MEX_FHA_QP..MAR,MEX,FHA,Aquaculture,QP,MEX_FHA_QP..MAR = MEX_OTHA_QP..MAR+MEX_MLCA_QP+MEX_SHPA_QP..MAR,Scalar TS,Numeric,111.014,116.803,107.884,72.341,110.057,146.731,146.099,171.854,176.995,179.9159792,182.1794701,193.0980873,202.9931716,207.7683431,215.3665512,224.6594767,231.9546146,243.1193619,254.3120857,268.2331419,275.0468814
MEX_FHC_QP..MAR,MEX,FHC,Capture,QP,"MEX_FHC_QP..MAR = OVERLAY(MEX_FHC_QP..MAR..HIS,MEX_FHC_
QP*(TRND*0+0.88*FHCQPADJ))",Scalar TS,Numeric,1410.096,1452.973,1467.411,1500.183,1396.169,1315.851,1311.089,1460.597,1468.42,1466.168,1482.943894,1390.527765,1390.527765,1482.943894,1482.943894,1482.943894,1390.527765,1390.527765,1479.978006,1477.012118,1474.04623
MEX_MLCA_QP,MEX,MLCA,Aquaculture,QP,,Scalar TS,Numeric,4.386,3.425,5.742,5.08316,14.38099,8.26991,9.03896,15.632,9.4562,10,10.2592672,10.17795695,11.0730184,11.84826564,12.44641576,12.73930658,13.03440903,13.19915131,13.39217993,13.31316561,13.12668787
MEX_OTHA_QP..MAR,MEX,OTHA,Aquaculture,QP,"MEX_OTHA_QP..MAR = OVERLAY(MEX_OTHA_QP..MAR..HIS,MEX_OTHA_QP*0.33)",Scalar TS,Numeric,2.016,3.562,1.822,6.96584,8.70301,8.10009,9.24604,6.192,9.6048,7.415979219,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
MEX_SHPA_QP..MAR,MEX,SHPA,Aquaculture,QP,"MEX_SHPA_QP..MAR = OVERLAY(MEX_SHPA_QP..MAR..HIS,MEX_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,104.612,109.816,100.32,60.292,86.973,130.361,127.814,150.03,157.934,162.5,164.0002029,175.0001303,184.0001532,188.0000774,195.0001355,204.0001701,211.0002056,222.0002106,232.9999057,246.9999763,254.0001935
MYS_DEMA_QP,MYS,DEMA,Aquaculture,QP,,Scalar TS,Numeric,12.43,14.762,12.70225,13.44308,24.32323,26.20818,22.18692,21.98353,23.53139,23,27.69147348,31.70581283,34.52986442,35.95887179,37.63542557,40.21036445,41.94347212,43.61735757,44.44893692,44.14290544,43.38909021
MYS_FHA_QP..MAR,MYS,FHA,Aquaculture,QP,"MYS_FHA_QP..MAR = MYS_OTHA_QP..MAR+MYS_SHPA_QP..MAR+MYS_OFWDA_QP..MAR+MYS_DEMA_
QP+MYS_MLCA_QP",Scalar TS,Numeric,217.70992,164.7535,138.88925,127.14988,163.2966,131.16264,95.74623,121.02483,115.38182,115.4254188,120.33868,128.00647,133.2881291,138.1583843,143.6805698,150.0423731,155.7912482,161.1804694,165.5501698,168.1916802,170.6688537
MYS_FHC_QP..MAR,MYS,FHC,Capture,QP,"MYS_FHC_QP..MAR = OVERLAY(MYS_FHC_QP..MAR..HIS,MYS_FHC_
QP*(TRND*0+0.996*FHCQPADJ))",Scalar TS,Numeric,1428.831,1373.105,1472.239,1482.899,1458.126,1486.051,1574.443,1465.113,1451.532,1450.591211,1463.10612,1479.638934,1497.573775,1513.603186,1528.110107,1539.541269,1547.698411,1550.895795,1547.46951,1541.479185,1534.84933
MYS_MLCA_QP,MYS,MLCA,Aquaculture,QP,,Scalar TS,Numeric,89.366,60.795,45.134,41.94121,42.68127,19.37068,12.2256,16.19434,18.33966,18.2,18.18546487,18.90530449,18.22916318,18.47004938,19.04862284,19.50177707,20.11712244,20.36538515,20.36963607,19.71669255,19.2804591
MYS_OFWDA_QP..MAR,MYS,OFWDA,Aquaculture,QP,"MYS_OFWDA_QP..MAR = OVERLAY(MYS_OFWDA_QP..MAR..HIS,MYS_OFWDA_
QP*(TRND*0.016672-0.517))",Scalar TS,Numeric,20.022,17.607,20.089,16.981,30.44,29.132,15.026,30.237,21.241,24.0616,27.4616128,29.3952566,31.52897352,33.72934664,35.99642277,38.33013386,40.73058656,43.19771952,45.73153152,48.33201818,50.99922105
MYS_OTHA_QP..MAR,MYS,OTHA,Aquaculture,QP,"MYS_OTHA_QP..MAR = OVERLAY(MYS_OTHA_QP..MAR..HIS,MYS_OTHA_QP)",Scalar TS,Numeric,8.68992,4.1175,5.395,4.82759,4.4661,3.88178,3.05971,6.82896,6.35677,5.5638188,6,6,6,6,6,6,6,6,6,6,6
MYS_SHPA_QP..MAR,MYS,SHPA,Aquaculture,QP,"MYS_SHPA_QP..MAR = OVERLAY(MYS_SHPA_QP..MAR..HIS,MYS_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,87.202,67.472,55.569,49.957,61.386,52.57,43.248,45.781,45.913,44.6,41.00012887,42.00009606,43.00012797,44.00011651,45.00009863,46.00009768,47.00006711,48.00000717,49.00006531,50.000064,51.00008333
NEO_FHA_QP..MAR,NEO,FHA,Aquaculture,QP,NEO_FHA_QP..MAR = NEO_SHPA_QP+NEO_OMAA_QP+NEO_OTHA_QP..MAR,Scalar TS,Numeric,0.535,0.78,0.782,1.206,1.085,1.022,2.961,3.492,3.939,3.86271743,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872
NEO_FHC_QP..MAR,NEO,FHC,Capture,QP,"NEO_FHC_QP..MAR = OVERLAY(NEO_FHC_QP..MAR..HIS,NEO_FHC_
QP*(TRND*0+0.95*FHCQPADJ))",Scalar TS,Numeric,456.192,423.667,551.227,550.19,547.284,554.56,554.9,601.455,806.037,650.6215397,729.4788527,732.2772001,742.3703361,760.0641132,770.2592,780.4542869,790.6493737,800.8444606,809.4174682,817.9496957,826.4411427
NEO_OMAA_QP,NEO,OMAA,Aquaculture,QP,,Scalar TS,Numeric,1.05119,1.42642,1.47172,1.049002,0.445702,0.890002,2.5606155,3.143075,3.58672,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
NEO_OTHA_QP..MAR,NEO,OTHA,Aquaculture,QP,"NEO_OTHA_QP..MAR = OVERLAY(NEO_OTHA_QP..MAR..HIS,NEO_OTHA_QP*0.33)",Scalar TS,Numeric,-1.00019,-1.20042,-1.19972,-0.498002,0.002298,-0.398002,0.0083845,0.113925,0.11228,0.12271743,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132
NEO_SHPA_QP,NEO,SHPA,Aquaculture,QP,,Scalar TS,Numeric,0.484,0.554,0.51,0.655,0.637,0.53,0.392,0.235,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
NGA_FHA_QP..MAR,NGA,FHA,Aquaculture,QP,"NGA_OTHA_QP..MAR = OVERLAY(NGA_OTHA_QP..MAR..HIS,NGA_OTHA_QP)",Scalar TS,Numeric,0,0,0,0,0,0,0.04,0.12,0.09,0.0714051,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NGA_FHC_QP..MAR,NGA,FHC,Capture,QP,"NGA_FHC_QP..MAR = OVERLAY(NGA_FHC_QP..MAR..HIS,NGA_FHC_
QP*(TRND*0+0.528*FHCQPADJ))",Scalar TS,Numeric,323.599,334.205,356.745,381.856,405.362,372.457,357.099,496.206,485.967,452.0892318,454.608,452.5488,455.0304,462.1584,464.64,467.1744,469.656,472.1904,473.722656,475.2975744,476.8623552
