"","mar_taxa_name","mar_match_key","afcd_match_species","afcd_match_genus","afcd_match_family","afcd_match_order","afcd_match_class","afcd_match_phylum","missing","tonnes"
"547","lepidorhombus whiffiagonis","lepidorhombus whiffiagonis","lepidorhombus whiffiagonis","lepidorhombus",NA,NA,NA,NA,0,558271.2542
"548","macroramphosus scolopax",NA,NA,NA,NA,NA,NA,NA,1,556695.9408
"549","argopecten irradians",NA,NA,NA,NA,NA,NA,NA,1,555874.5216
"550","buccinum undatum","buccinum undatum","buccinum undatum","buccinum",NA,NA,NA,NA,0,551514.0741
"551","holothuriidae","holothuriidae",NA,NA,"holothuriidae",NA,NA,NA,0,545014.7278
"552","molva dypterygia","molva dypterygia","molva dypterygia","molva",NA,NA,NA,NA,0,536413.2117
"553","nematalosa nasus","nematalosa nasus","nematalosa nasus","nematalosa",NA,NA,NA,NA,0,535084.3867
"554","todarodes sagittatus","todarodes sagittatus","todarodes sagittatus","todarodes",NA,NA,NA,NA,0,532536.6439
"555","farfantepenaeus subtilis",NA,NA,NA,NA,NA,NA,NA,1,531049.8416
"556","sardinella zunasi","sardinella zunasi","sardinella zunasi","sardinella",NA,NA,NA,NA,0,526436.6577
"557","paralithodes platypus","paralithodes platypus","paralithodes platypus","paralithodes",NA,NA,NA,NA,0,526014.5601
"558","trisopterus minutus","trisopterus minutus","trisopterus minutus","trisopterus",NA,NA,NA,NA,0,524497.3633
"559","pseudophycis bachus","pseudophycis bachus","pseudophycis bachus","pseudophycis",NA,NA,NA,NA,0,521217.6821
"560","mesodesma donacium","mesodesma donacium","mesodesma donacium","mesodesma",NA,NA,NA,NA,0,520462.081
"561","cynoscion striatus","cynoscion striatus","cynoscion striatus","cynoscion",NA,NA,NA,NA,0,511826
"562","sarpa salpa","sarpa salpa","sarpa salpa","sarpa",NA,NA,NA,NA,0,507837.8918
"563","terapon jarbua","terapon jarbua","terapon jarbua","terapon",NA,NA,NA,NA,0,507217.9266
"564","morone saxatilis","morone saxatilis","morone saxatilis","morone",NA,NA,NA,NA,0,505415.1896
"565","pagrus caeruleostictus","pagrus caeruleostictus","pagrus caeruleostictus","pagrus",NA,NA,NA,NA,0,498674.8795
"566","haliotis","haliotis",NA,"haliotis",NA,NA,NA,NA,0,498606.3969
"567","patagonotothen ramsayi","patagonotothen ramsayi","patagonotothen ramsayi","patagonotothen",NA,NA,NA,NA,0,495404.25
"568","bothidae","bothidae",NA,NA,"bothidae",NA,NA,NA,0,495149.4804
"569","pomadasys jubelini","pomadasys",NA,"pomadasys",NA,NA,NA,NA,0,490289.3722
"570","seriolina nigrofasciata","seriolina nigrofasciata","seriolina nigrofasciata","seriolina",NA,NA,NA,NA,0,487023.8307
"571","stellifer rastrifer","stellifer",NA,"stellifer",NA,NA,NA,NA,0,486736.1712
"572","spondyliosoma cantharus","spondyliosoma cantharus","spondyliosoma cantharus","spondyliosoma",NA,NA,NA,NA,0,486166.9514
"573","nototheniidae","nototheniidae",NA,NA,"nototheniidae",NA,NA,NA,0,484216.9327
"574","hippoglossoides elassodon","hippoglossoides elassodon","hippoglossoides elassodon","hippoglossoides",NA,NA,NA,NA,0,479678.2164
"575","haliotidae","haliotidae",NA,NA,"haliotidae",NA,NA,NA,0,479371.4903
"576","istiophorus platypterus","istiophorus platypterus","istiophorus platypterus","istiophorus",NA,NA,NA,NA,0,472707.8585
"577","seriola dumerili","seriola dumerili","seriola dumerili","seriola",NA,NA,NA,NA,0,470469.2346
"578","menidae","munida",NA,"munida","menidae",NA,NA,NA,0,470080.3779
"579","dentex dentex","dentex",NA,"dentex",NA,NA,NA,NA,0,466644.1303
"580","epinephelus coioides","epinephelus coioides","epinephelus coioides","epinephelus",NA,NA,NA,NA,0,465299.3999
"581","penaeus penicillatus","penaeus",NA,"penaeus",NA,NA,NA,NA,0,464042.0849
"582","mene maculata","mene maculata","mene maculata","mene",NA,NA,NA,NA,0,457935.541
"583","melicertus kerathurus","melicertus",NA,"melicertus",NA,NA,NA,NA,0,451950.2337
"584","balistes capriscus","balistes capriscus","balistes capriscus","balistes",NA,NA,NA,NA,0,449298.8142
"585","crassostrea","crassostrea",NA,"crassostrea",NA,NA,NA,NA,0,447274.8212
"586","muraenesox","muraenesox",NA,"muraenesox",NA,NA,NA,NA,0,443227.7932
"587","callinectes","callinectes",NA,"callinectes",NA,NA,NA,NA,0,442270.0881
"588","sciaenops ocellatus",NA,NA,NA,NA,NA,NA,NA,1,440333.2678
"589","ammodytes","ammodytes",NA,"ammodytes",NA,NA,NA,NA,0,438929.4141
"590","galeorhinus galeus",NA,NA,NA,NA,NA,NA,NA,1,436724.4928
"591","litopenaeus schmitti","litopenaeus",NA,"litopenaeus",NA,NA,NA,NA,0,435861.2022
"592","squilla biformis","squilla",NA,"squilla",NA,NA,NA,NA,0,435796.7994
"593","genypterus capensis","genypterus capensis","genypterus capensis","genypterus",NA,NA,NA,NA,0,434511.698
"594","serranus","serranus",NA,"serranus",NA,NA,NA,NA,0,431573.1712
"595","cynoscion virescens","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,430553.2396
"596","cardium edule","cardium",NA,"cardium",NA,NA,NA,NA,0,429204.3996
"597","epinephelus morio","epinephelus morio","epinephelus morio","epinephelus",NA,NA,NA,NA,0,426055.7413
"598","miichthys miiuy","miichthys miiuy","miichthys miiuy","miichthys",NA,NA,NA,NA,0,425531.4979
"599","scyliorhinus canicula","scyliorhinus canicula","scyliorhinus canicula","scyliorhinus",NA,NA,NA,NA,0,422589.0263
"600","trachurus lathami","trachurus lathami","trachurus lathami","trachurus",NA,NA,NA,NA,0,421922.2701
"601","sarotherodon galilaeus","sarotherodon galilaeus","sarotherodon galilaeus","sarotherodon",NA,NA,NA,NA,0,408923.4719
"602","capros aper","capros aper","capros aper","capros",NA,NA,NA,NA,0,404492.4181
"603","plectorhinchus mediterraneus","plectorhinchus",NA,"plectorhinchus",NA,NA,NA,NA,0,401870.0485
"604","concholepas concholepas","concholepas",NA,"concholepas",NA,NA,NA,NA,0,401048.5476
"605","argentina","argentina",NA,"argentina",NA,NA,NA,NA,0,396562.2719
"606","meretrix","meretrix",NA,"meretrix",NA,NA,NA,NA,0,396219
"607","cetengraulis edentulus","cetengraulis eduntulus","cetengraulis eduntulus","cetengraulis",NA,NA,NA,NA,0,395141.0874
"608","nemadactylus bergi","nemadactylus bergi","nemadactylus bergi","nemadactylus",NA,NA,NA,NA,0,389105.0284
"609","psettodidae","psettodidae",NA,NA,"psettodidae",NA,NA,NA,0,386114.7336
"610","perca fluviatilis","perca fluviatilis","perca fluviatilis","perca",NA,NA,NA,NA,0,382498.2575
"611","coregonus","coregonus",NA,"coregonus",NA,NA,NA,NA,0,381326.678
"612","decapterus maruadsi","decapterus maruadsi","decapterus maruadsi","decapterus",NA,NA,NA,NA,0,381123.8202
"613","sparisoma cretense","sparisoma cretense","sparisoma cretense","sparisoma",NA,NA,NA,NA,0,380099.699
"614","rhomboplites aurorubens",NA,NA,NA,NA,NA,NA,NA,1,379918.4732
"615","mytilus chilensis","mytilus chilensis","mytilus chilensis","mytilus",NA,NA,NA,NA,0,371803.3286
"616","apsilus fuscus","aspius",NA,"aspius",NA,NA,NA,NA,0,365279.8096
"617","melicertus latisulcatus","melicertus latisulcatus","melicertus latisulcatus","melicertus",NA,NA,NA,NA,0,362480.4638
"618","cetorhinus maximus",NA,NA,NA,NA,NA,NA,NA,1,356757.5216
"619","paralonchurus peruanus","parolonchurus",NA,"parolonchurus",NA,NA,NA,NA,0,356437.0505
"620","scomberomorus tritor","scomberomorus",NA,"scomberomorus",NA,NA,NA,NA,0,353906.2108
"621","pagellus bogaraveo","pagellus bogaraveo","pagellus bogaraveo","pagellus",NA,NA,NA,NA,0,352842.768
"622","centropomus","centropomus",NA,"centropomus",NA,NA,NA,NA,0,349957.9835
"623","scophthalmidae","scophthalmidae",NA,NA,"scophthalmidae",NA,NA,NA,0,349672.5943
"624","solea","solea",NA,"solea",NA,NA,NA,NA,0,348521.0521
"625","pogonias cromis","pogonias cromis","pogonias cromis","pogonias",NA,NA,NA,NA,0,348201.3728
"626","dentex gibbosus","dentex",NA,"dentex",NA,NA,NA,NA,0,344488.1183
"627","bramidae","bramidae",NA,NA,"bramidae",NA,NA,NA,0,344092.4276
"628","pteroscion peli",NA,NA,NA,NA,NA,NA,NA,1,342477.9434
"629","buccinidae","buccinidae","buccinidae",NA,"buccinidae",NA,NA,NA,0,342234.739
"630","selene dorsalis","selene",NA,"selene",NA,NA,NA,NA,0,341132.3695
"631","cynoscion analis","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,340603.1466
"632","sillago sihama","sillago sihama","sillago sihama","sillago",NA,NA,NA,NA,0,338765.9531
"633","acanthistius brasilianus","acanthistius brasilianus","acanthistius brasilianus","acanthistius",NA,NA,NA,NA,0,334848.328
"634","salvelinus","salvelinus",NA,"salvelinus",NA,NA,NA,NA,0,334787.4752
"635","percophis brasiliensis","percophis brasilensis","percophis brasilensis","percophis",NA,NA,NA,NA,0,333767.046
"636","diplodus annularis","diplodus annularis","diplodus annularis","diplodus",NA,NA,NA,NA,0,329584.2837
"637","selene setapinnis","selene",NA,"selene",NA,NA,NA,NA,0,328010.073
"638","istiompax indica",NA,NA,NA,NA,NA,NA,NA,1,323554.2758
"639","salilota australis","salilota australis","salilota australis","salilota",NA,NA,NA,NA,0,323429.1369
"640","plesionika trispinus","plesionika",NA,"plesionika",NA,NA,NA,NA,0,319935.4147
"641","lithodes aequispinus","lithodes",NA,"lithodes",NA,NA,NA,NA,0,318678.7436
"642","spicara","spicara",NA,"spicara",NA,NA,NA,NA,0,317746.7672
"643","coregonus sardinella","coregonus sardinella","coregonus sardinella","coregonus",NA,NA,NA,NA,0,317074.4429
"644","epinephelus marginatus","epinephelus marginatus","epinephelus marginatus","epinephelus",NA,NA,NA,NA,0,315185.3374
"645","sciades parkeri","ucides",NA,"ucides",NA,NA,NA,NA,0,311803.8514
"646","elops lacerta","elops lacerta","elops lacerta","elops",NA,NA,NA,NA,0,308763.5176
"647","nebris microps","zebrias",NA,"zebrias",NA,NA,NA,NA,0,308717.3236
"648","esox lucius","esox lucius","esox lucius","esox",NA,NA,NA,NA,0,307435.4861
"649","decapterus macarellus","decapterus",NA,"decapterus",NA,NA,NA,NA,0,306419.8577
"650","centropristis striata","centropristis striata","centropristis striata","centropristis",NA,NA,NA,NA,0,305541.6569
"651","pampus chinensis","pampus chinensis","pampus chinensis","pampus",NA,NA,NA,NA,0,304965.0862
"652","paralabrax humeralis","paralabrax",NA,"paralabrax",NA,NA,NA,NA,0,303546.3336
"653","aphanopus carbo","aphanopus carbo","aphanopus carbo","aphanopus",NA,NA,NA,NA,0,301030.1535
"654","aristeus varidens","aristeus",NA,"aristeus",NA,NA,NA,NA,0,297561.7007
"655","heterocarpus reedi","heterocarpus reedi","heterocarpus reedi","heterocarpus",NA,NA,NA,NA,0,296411.1075
"656","pseudotolithus typus","pseudotolithus typus","pseudotolithus typus","pseudotolithus",NA,NA,NA,NA,0,295333.1862
"657","pterogymnus laniarius",NA,NA,NA,NA,NA,NA,NA,1,294768.5561
"658","hypoptychus dybowskii","hypoptychus dybowskii","hypoptychus dybowskii","hypoptychus",NA,NA,NA,NA,0,294168.9989
"659","arripis trutta","arripis trutta","arripis trutta","arripis",NA,NA,NA,NA,0,292397.5919
"660","muraenidae","muraenidae",NA,NA,"muraenidae",NA,NA,NA,0,291356.0926
"661","genyatremus luteus",NA,NA,NA,NA,NA,NA,NA,1,286601.0436
"662","oblada melanura","oblada melanura","oblada melanura","oblada",NA,NA,NA,NA,0,285905.1137
"663","cynoglossidae","cynoglossidae",NA,NA,"cynoglossidae",NA,NA,NA,0,282579.7582
"664","pentheroscion mbizi",NA,NA,NA,NA,NA,NA,NA,1,281625.7339
"665","megalops atlanticus","megalops atlanticus","megalops atlanticus","megalops",NA,NA,NA,NA,0,281334.1974
"666","trochus","trichius",NA,"trichius",NA,NA,NA,NA,0,279198.3432
"667","holocentridae","holocentridae",NA,NA,"holocentridae",NA,NA,NA,0,277960.4817
"668","apostichopus japonicus","apostichopus japonicus","apostichopus japonicus","apostichopus",NA,NA,NA,NA,0,277537.5323
"669","nibea mitsukurii","nibea",NA,"nibea",NA,NA,NA,NA,0,276857.5043
"670","cynoscion jamaicensis","cynoscion jamaicensis","cynoscion jamaicensis","cynoscion",NA,NA,NA,NA,0,276306.7781
"671","eledone cirrhosa","eledone cirrhosa","eledone cirrhosa","eledone",NA,NA,NA,NA,0,276156.2032
"672","diplodus vulgaris","diplodus vulgaris","diplodus vulgaris","diplodus",NA,NA,NA,NA,0,275568.8483
"673","pecten novaezelandiae","pecten novaezelandiae","pecten novaezelandiae","pecten",NA,NA,NA,NA,0,272892.5214
"674","salmo","salmo",NA,"salmo",NA,NA,NA,NA,0,271753.0052
"675","plotosus","plotosus",NA,"plotosus",NA,NA,NA,NA,0,271038.5434
"676","carcharhinus sorrah","carcharhinus sorrah","carcharhinus sorrah","carcharhinus",NA,NA,NA,NA,0,269116.5171
"677","littorina littorea","littorina littorea","littorina littorea","littorina",NA,NA,NA,NA,0,268895.2291
"678","meretrix lusoria","meretrix lusoria","meretrix lusoria","meretrix",NA,NA,NA,NA,0,268798.8554
"679","anchoviella",NA,NA,NA,NA,NA,NA,NA,1,266944.0357
"680","brama brama","brama",NA,"brama",NA,NA,NA,NA,0,263439.8016
"681","gempylidae","gempylidae",NA,NA,"gempylidae",NA,NA,NA,0,261721.3166
"682","crangonidae","crangonidae",NA,NA,"crangonidae",NA,NA,NA,0,261204.1321
"683","caranx melampygus","caranx",NA,"caranx",NA,NA,NA,NA,0,258712.7698
"684","pagellus acarne","pagellus acarne","pagellus acarne","pagellus",NA,NA,NA,NA,0,257616.3121
"685","sphyrna zygaena","sphyrna",NA,"sphyrna",NA,NA,NA,NA,0,256782.0364
"686","seriolella brama","seriolella brama","seriolella brama","seriolella",NA,NA,NA,NA,0,255923.0093
"687","plectorhinchus","plectorhinchus",NA,"plectorhinchus",NA,NA,NA,NA,0,255232.5182
"688","farfantepenaeus brevirostris",NA,NA,NA,NA,NA,NA,NA,1,251799.3615
"689","farfantepenaeus brasiliensis",NA,NA,NA,NA,NA,NA,NA,1,250210.8774
"690","scomberomorus sierra","scomberomorus sierra","scomberomorus sierra","scomberomorus",NA,NA,NA,NA,0,249332.3363
"691","diogenidae",NA,NA,NA,NA,NA,NA,NA,1,249060.9318
"692","ablennes hians","ablennes hians","ablennes hians","ablennes",NA,NA,NA,NA,0,243075.0277
"693","centropomus undecimalis","centropomus undecimalis","centropomus undecimalis","centropomus",NA,NA,NA,NA,0,241257.2326
"694","panopea abrupta","panopea abrupta","panopea abrupta","panopea",NA,NA,NA,NA,0,239877.3554
"695","eleutheronema tetradactylum","eleutheronema tetradactylum","eleutheronema tetradactylum","eleutheronema",NA,NA,NA,NA,0,238297.5982
"696","atherinidae","atherinidas","atherinidas","atherinidas","atherinidae",NA,NA,NA,0,237988.0405
"697","sphyrna","sphyrna",NA,"sphyrna",NA,NA,NA,NA,0,237229.0727
"698","gerres","gerres",NA,"gerres",NA,NA,NA,NA,0,236557.554
"699","lutjanus analis","lutjanus",NA,"lutjanus",NA,NA,NA,NA,0,235313.6542
"700","acanthurus","acanthurus",NA,"acanthurus",NA,NA,NA,NA,0,232194.9472
"701","sarda chiliensis lineolata","sarda",NA,"sarda",NA,NA,NA,NA,0,231866.3648
"702","alopias vulpinus",NA,NA,NA,NA,NA,NA,NA,1,231087.8837
"703","litopenaeus occidentalis","litopenaeus",NA,"litopenaeus",NA,NA,NA,NA,0,229262.0752
"704","chelidonichthys cuculus","chelidonichthys cuculus","chelidonichthys cuculus","chelidonichthys",NA,NA,NA,NA,0,228862.4868
"705","atule mate","atule mate","atule mate","atule",NA,NA,NA,NA,0,224623.7309
"706","leiognathus equulus","leiognathus equulus","leiognathus equulus","leiognathus",NA,NA,NA,NA,0,224284.7172
"707","sphyrna lewini","sphyrna",NA,"sphyrna",NA,NA,NA,NA,0,223792.4051
"708","homarus gammarus","homarus gammarus","homarus gammarus","homarus",NA,NA,NA,NA,0,223555.9265
"709","lutjanus argentimaculatus","lutjanus argentimaculatus","lutjanus argentimaculatus","lutjanus",NA,NA,NA,NA,0,222711.9336
"710","metapenaeus joyneri","metapenaeus joyneri","metapenaeus joyneri","metapenaeus",NA,NA,NA,NA,0,222287.2284
"711","eledone","eledone",NA,"eledone",NA,NA,NA,NA,0,222187.6347
"712","pomadasys kaakan","pomadasys",NA,"pomadasys",NA,NA,NA,NA,0,222027.5176
"713","centroberyx affinis","centroberyx",NA,"centroberyx",NA,NA,NA,NA,0,220291.6476
"714","spicara maena","spicara maena","spicara maena","spicara",NA,NA,NA,NA,0,218268.7029
"715","lutjanus argentiventris","lutjanus",NA,"lutjanus",NA,NA,NA,NA,0,217964.0705
"716","istiophorus albicans","istiophorus",NA,"istiophorus",NA,NA,NA,NA,0,217608.8637
"717","umbrina canariensis","umbrina",NA,"umbrina",NA,NA,NA,NA,0,216851.1757
"718","metapenaeus monoceros","metapenaeus monoceros","metapenaeus monoceros","metapenaeus",NA,NA,NA,NA,0,216386.9221
"719","pentanemus quinquarius","pentanemus quinquarius","pentanemus quinquarius","pentanemus",NA,NA,NA,NA,0,213701.1364
"720","murex","meurex",NA,"meurex",NA,NA,NA,NA,0,213279.6557
"721","lutjanus quinquelineatus","lutjanus quinquelineatus","lutjanus quinquelineatus","lutjanus",NA,NA,NA,NA,0,213159.5944
"722","panulirus polyphagus","panulirus",NA,"panulirus",NA,NA,NA,NA,0,211631.6863
"723","congresox talabonoides","congresox",NA,"congresox",NA,NA,NA,NA,0,210450.9611
"724","acipenseridae","acipenseridae",NA,NA,"acipenseridae",NA,NA,NA,0,209132.9993
"725","menticirrhus americanus","menticirrhus americanus","menticirrhus americanus","menticirrhus",NA,NA,NA,NA,0,207476.3483
"726","cancer irroratus","cancer",NA,"cancer",NA,NA,NA,NA,0,207472.0726
"727","pseudupeneus prayensis","pseudupeneus",NA,"pseudupeneus",NA,NA,NA,NA,0,207281.6859
"728","thunnus atlanticus","thunnus",NA,"thunnus",NA,NA,NA,NA,0,206716.1473
"729","asterias rubens",NA,NA,NA,NA,NA,NA,NA,1,206464.2578
"730","isacia conceptionis",NA,NA,NA,NA,NA,NA,NA,1,205890.4798
"731","malacanthidae","malacanthidae",NA,NA,"malacanthidae",NA,NA,NA,0,204769.21
"732","scyllaridae","scyllarides",NA,"scyllarides","scyllaridae",NA,NA,NA,0,204256.6954
"733","liparis tanakae","liparis tanakae","liparis tanakae","liparis",NA,NA,NA,NA,0,204142.5102
"734","raja clavata","raja clavata","raja clavata","raja",NA,NA,NA,NA,0,203655.2463
"735","porichthys porosissimus","aorichthys",NA,"aorichthys",NA,NA,NA,NA,0,202405.5885
"736","artemesia longinaris","artemesia longinaris","artemesia longinaris","artemesia",NA,NA,NA,NA,0,201635.5521
"737","lepidonotothen squamifrons","lepidonotothen squamifrons","lepidonotothen squamifrons","lepidonotothen",NA,NA,NA,NA,0,201632.069
"738","lichia amia","cichla",NA,"cichla",NA,NA,NA,NA,0,201492.6203
"739","caranx sexfasciatus","caranx sexfasciatus","caranx sexfasciatus","caranx",NA,NA,NA,NA,0,201196.5142
"740","beryx splendens","beryx splendens","beryx splendens","beryx",NA,NA,NA,NA,0,200377.3005
"741","sciades proops","ucides",NA,"ucides",NA,NA,NA,NA,0,198750.5778
"742","bagre bagre","bagre",NA,"bagre",NA,NA,NA,NA,0,197707.8634
"743","osmerus eperlanus","osmerus",NA,"osmerus",NA,NA,NA,NA,0,196690.4618
"744","stromateus fiatola","stromateus",NA,"stromateus",NA,NA,NA,NA,0,196628.6966
"745","chaceon maritae",NA,NA,NA,NA,NA,NA,NA,1,196074.1798
"746","eleginus nawaga","eleginus",NA,"eleginus",NA,NA,NA,NA,0,195807.4114
"747","stenotomus chrysops","stenotomus chrysops","stenotomus chrysops","stenotomus",NA,NA,NA,NA,0,195417.9433
"748","urophycis brasiliensis","urophycis brasiliensis","urophycis brasiliensis","urophycis",NA,NA,NA,NA,0,195076.0844
"749","octopus cyanea","octopus cyanea","octopus cyanea","octopus",NA,NA,NA,NA,0,194785.451
"750","genypterus maculatus","genypterus maculatus","genypterus maculatus","genypterus",NA,NA,NA,NA,0,194501.8238
"751","isopisthus parvipinnis","isopisthus parvipinnis","isopisthus parvipinnis","isopisthus",NA,NA,NA,NA,0,193911.8151
"752","anarhichadidae","anarhichadidae",NA,NA,"anarhichadidae",NA,NA,NA,0,193910.0314
"753","coryphaenoides","coryphaenoides",NA,"coryphaenoides",NA,NA,NA,NA,0,193617.253
"754","lamnidae",NA,NA,NA,NA,NA,NA,NA,1,189307.9142
"755","lampanyctodes hectoris",NA,NA,NA,NA,NA,NA,NA,1,188839.7
"756","merluccius polli","merluccius",NA,"merluccius",NA,NA,NA,NA,0,187413.3745
"757","drepane punctata","drepane punctata","drepane punctata","drepane",NA,NA,NA,NA,0,187188.8031
"758","mytilus platensis","mytilu platensis","mytilu platensis","mytilus",NA,NA,NA,NA,0,186604.5195
"759","mizuhopecten yessoensis","mizuhopecten yessoensis","mizuhopecten yessoensis","mizuhopecten",NA,NA,NA,NA,0,184101.5957
"760","archosargus probatocephalus","archosargus probatocephalus","archosargus probatocephalus","archosargus",NA,NA,NA,NA,0,183454.9876
"761","lethrinus mahsena","lethrinus mahsena","lethrinus mahsena","lethrinus",NA,NA,NA,NA,0,183142.1116
"762","ostrea edulis","ostrea edulis","ostrea edulis","ostrea",NA,NA,NA,NA,0,182511.394
"763","scarus","scarus",NA,"scarus",NA,NA,NA,NA,0,181787.5346
"764","caranx latus","caranx",NA,"caranx",NA,NA,NA,NA,0,181647.5027
"765","lamna nasus","lamna nasus","lamna nasus","lamna",NA,NA,NA,NA,0,177839.804
"766","menticirrhus","menticirrhus",NA,"menticirrhus",NA,NA,NA,NA,0,177837.2773
"767","cynoscion regalis","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,177019.7127
"768","cottidae","cottoidea","cottoidea","cottoidea","cottidae",NA,NA,NA,0,173382.8514
"769","aetobatus narinari",NA,NA,NA,NA,NA,NA,NA,1,172308.6617
"770","bregmaceros mcclellandi","bregmaceros mcclellandi","bregmaceros mcclellandi","bregmaceros",NA,NA,NA,NA,0,171361.784
"771","lepas","alepes",NA,"alepes",NA,NA,NA,NA,0,171089.7179
"772","rhinobatos","rhinobatos",NA,"rhinobatos",NA,NA,NA,NA,0,170612.9696
"773","makaira nigricans","makaira",NA,"makaira",NA,NA,NA,NA,0,170440.5643
"774","argyrops spinifer","argyrops",NA,"argyrops",NA,NA,NA,NA,0,169678.2948
"775","semele solida","selene",NA,"selene",NA,NA,NA,NA,0,168566.8857
"776","chelidonichthys lucerna","chelidonichthys lucerna","chelidonichthys lucerna","chelidonichthys",NA,NA,NA,NA,0,167713.8064
"777","diplectrum formosum","diplectrum",NA,"diplectrum",NA,NA,NA,NA,0,167256.4467
"778","patagonotothen brevicauda brevicauda","patagonotothen",NA,"patagonotothen",NA,NA,NA,NA,0,167154.4876
"779","pyura chilensis","pyura chilensis","pyura chilensis","pyura",NA,NA,NA,NA,0,167014.6143
"780","glyptocephalus zachirus","glyptocephalus zachirus","glyptocephalus zachirus","glyptocephalus",NA,NA,NA,NA,0,166714.0418
"781","crassostrea rhizophorae","crassostrea rhizophorae","crassostrea rhizophorae","crassostrea",NA,NA,NA,NA,0,165229.3291
"782","polyprion","polyprion",NA,"polyprion",NA,NA,NA,NA,0,164012.0586
"783","cyclopsetta querna",NA,NA,NA,NA,NA,NA,NA,1,163834.0448
"784","macrourus berglax","macrourus berglax","macrourus berglax","macrourus",NA,NA,NA,NA,0,163295.4605
"785","rachycentridae","rachycentridae",NA,NA,"rachycentridae",NA,NA,NA,0,162857.5074
"786","caproidae","caproidae",NA,NA,"caproidae",NA,NA,NA,0,162373.3052
"787","cypselurus","cypselurus",NA,"cypselurus",NA,NA,NA,NA,0,161720.5064
"788","diapterus rhombeus","diapterus",NA,"diapterus",NA,NA,NA,NA,0,161376.812
"789","parapercis colias","parapercis",NA,"parapercis",NA,NA,NA,NA,0,161305.0071
"790","lobotes surinamensis","lobotes surinamensis","lobotes surinamensis","lobotes",NA,NA,NA,NA,0,160252.1291
"791","acanthopagrus schlegelii","acanthopagrus schlegelii","acanthopagrus schlegelii","acanthopagrus",NA,NA,NA,NA,0,158074.2347
"792","alosa sapidissima","alosa sapidissima","alosa sapidissima","alosa",NA,NA,NA,NA,0,157760.1757
"793","farfantepenaeus paulensis",NA,NA,NA,NA,NA,NA,NA,1,154921.7387
"794","lithodes antarcticus","lithodes antarcticus","lithodes antarcticus","lithodes",NA,NA,NA,NA,0,154165.7824
"795","leucoraja naevus","leucoraja naevus","leucoraja naevus","leucoraja",NA,NA,NA,NA,0,152685.485
"796","aspistor quadriscutis",NA,NA,NA,NA,NA,NA,NA,1,152661.1321
"797","parapenaeopsis hardwickii","parapenaeopsis",NA,"parapenaeopsis",NA,NA,NA,NA,0,152097.7236
"798","mustelus lenticulatus","mustelus lenticulatus","mustelus lenticulatus","mustelus",NA,NA,NA,NA,0,151416.4613
"799","asterozoa",NA,NA,NA,NA,NA,NA,NA,1,149808.9187
"800","rexea solandri","rexea solandri","rexea solandri","rexea",NA,NA,NA,NA,0,149217.1177
"801","helicolenus dactylopterus","helicolenus dactylopterus","helicolenus dactylopterus","helicolenus",NA,NA,NA,NA,0,149084.64
"802","rhynchobatus djiddensis",NA,NA,NA,NA,NA,NA,NA,1,148528.4093
"803","batrachoididae",NA,NA,NA,NA,NA,NA,NA,1,148217.1709
"804","parophrys vetulus","parophrys vetulus","parophrys vetulus","parophrys",NA,NA,NA,NA,0,147704.2074
"805","tylosurus crocodilus","tylosurus crocodilus","tylosurus crocodilus","tylosurus",NA,NA,NA,NA,0,147490.839
"806","sebastes entomelas","sebastes",NA,"sebastes",NA,NA,NA,NA,0,146492.0088
"807","grammoplites suppositus","grammoplites suppositus","grammoplites suppositus","grammoplites",NA,NA,NA,NA,0,146211.4853
"808","sprattus fuegensis","sprattus fuegensis","sprattus fuegensis","sprattus",NA,NA,NA,NA,0,146062.808
"809","mola mola","mora",NA,"mora",NA,NA,NA,NA,0,144900.9804
"810","parona signata","parona signata","parona signata","parona",NA,NA,NA,NA,0,144050.0845
"811","phycis blennoides","phycis blennoides","phycis blennoides","phycis",NA,NA,NA,NA,0,143890.1616
"812","calamus","chlamys",NA,"chlamys",NA,NA,NA,NA,0,143429.1459
"813","panulirus homarus","panulirus",NA,"panulirus",NA,NA,NA,NA,0,143123.5807
"814","haliotis rubra","haliotis",NA,"haliotis",NA,NA,NA,NA,0,142605.5003
"815","umbrina cirrosa","umbrina cirrosa","umbrina cirrosa","umbrina",NA,NA,NA,NA,0,142545.8364
"816","sicyonia brevirostris","silonia",NA,"silonia",NA,NA,NA,NA,0,142501.8421
"817","thryssa baelama","thryssa",NA,"thryssa",NA,NA,NA,NA,0,142441.3279
"818","carcinus maenas","carcinus maenas","carcinus maenas","carcinus",NA,NA,NA,NA,0,142345.8811
"819","argentina silus","argentina",NA,"argentina",NA,NA,NA,NA,0,140877.2313
"820","cilus gilberti","cilus gilberti","cilus gilberti","cilus",NA,NA,NA,NA,0,140376.0594
"821","kyphosidae","kyphosidae",NA,NA,"kyphosidae",NA,NA,NA,0,137842.0552
"822","scophthalmus rhombus","scophthalmus rhombus","scophthalmus rhombus","scophthalmus",NA,NA,NA,NA,0,137694.1972
"823","brotula barbata","brotia",NA,"brotia",NA,NA,NA,NA,0,137376.9456
"824","menippe mercenaria","menippe mercenaria","menippe mercenaria","menippe",NA,NA,NA,NA,0,136695.5617
